celebrity_name,season,avg_judge_score,predicted_fan_votes
Kelly Monaco,1,7.111111111111111,0.5
Joey McIntyre,1,7.033333333333333,0.4550542339234112
Master P,2,4.166666666666667,0.2727787226591497
Evander Holyfield,1,5.0,0.3206542158433585
Kelly Monaco,1,7.111111111111111,0.4484408637990407
John O'Hurley,1,8.055555555555555,0.5
Reginald VelJohnson,33,5.2,0.3134046089777632
Emmitt Smith,3,8.588886666666667,0.5148029941342434
Master P,2,4.166666666666667,0.2084693879612942
Eric Roberts,33,5.3,0.2652912739961653
