feature,importance_percent_judge,importance_percent_fan
experience_industry_simplified_Model,14.565093547254616,
industry_simplified_Politician,7.938619785611689,
industry_simplified_Other,6.455144010554811,
age_industry_simplified_Other,6.378755106245726,6.970211538392188
celebrity_age_during_season,5.60770790045549,
industry_simplified_Model,5.24161062138732,10.165019274139338
experience_industry_simplified_Other,4.996694081162245,7.035538805059985
industry_simplified_Athlete,4.739366820789746,
age_industry_simplified_Athlete,4.669791584856791,8.262146200972257
experience_industry_simplified_Comedian,4.6377263177245664,4.85785234748371
industry_simplified_Comedian,,8.13434435640855
industry_simplified_Singer,,8.007319608366275
age_industry_simplified_Model,,6.88168057772086
experience_industry_simplified_Singer,,6.074987884260361
experience_industry_simplified_Athlete,,5.262004236954208
