feature,importance,importance_percent
experience_industry_simplified_Model,14.556797727310494,14.565093547254616
industry_simplified_Politician,7.934098197052536,7.938619785611689
industry_simplified_Other,6.451467363216351,6.455144010554811
age_industry_simplified_Other,6.3751219676285675,6.378755106245726
celebrity_age_during_season,5.604513926116055,5.60770790045549
industry_simplified_Model,5.238625164562677,5.24161062138732
experience_industry_simplified_Other,4.993848121108594,4.996694081162245
industry_simplified_Athlete,4.73666742626359,4.739366820789746
age_industry_simplified_Athlete,4.667131818200376,4.669791584856791
experience_industry_simplified_Comedian,4.6350848144374694,4.6377263177245664
experience_industry_simplified_Singer,4.585147286712286,4.587760330942232
industry_simplified_Comedian,4.400218514648136,4.402726169229599
age_industry_simplified_Singer,4.025365559475407,4.027659587909149
pro_experience,3.941391261182996,3.9436374332357103
industry_simplified_Singer,3.789804097796633,3.7919638813567103
age_industry_simplified_Model,3.506695865611075,3.5086943077166017
experience_industry_simplified_Athlete,3.4807135837895737,3.4826972187695393
is_american_True,3.367038868490046,3.3689577210234876
age_industry_simplified_Comedian,3.057491023647466,3.0592334669710657
experience_industry_simplified_Politician,0.36011427685560926,0.36031950353087566
industry_simplified_Musician,0.23570627586974355,0.2358406032720297
age_industry_simplified_Musician,0.0,0.0
age_industry_simplified_Politician,0.0,0.0
experience_industry_simplified_Musician,0.0,0.0
