season,method,avg_fan_weight,avg_correlation
1,percentage,0.6,0.5162607134177142
1,rank,0.5,0.33999999999999997
2,percentage,0.6,0.7310174376904974
2,rank,0.5,-0.18051948051948052
3,percentage,0.6,0.714401043276485
3,rank,0.5,0.1362914862914863
4,percentage,0.6,0.7094066599139671
4,rank,0.5,-0.10428571428571429
5,percentage,0.6,0.5547901633585103
5,rank,0.5,0.030755910755910755
6,percentage,0.6,0.7754074810340591
6,rank,0.5,-0.09084082584082584
7,percentage,0.6,0.7465751108517824
7,rank,0.5,-0.26116383616383615
8,percentage,0.6,0.7952571163862711
8,rank,0.5,-0.1036251627160718
9,percentage,0.6,0.7333525442663463
9,rank,0.5,0.3200869718516778
10,percentage,0.6,0.5200453035594645
10,rank,0.5,-0.16666666666666669
11,percentage,0.6,0.6487054657241462
11,rank,0.5,0.26285048285048285
12,percentage,0.6,0.7892398927791796
12,rank,0.5,-0.05476190476190477
13,percentage,0.6,0.5785160331728026
13,rank,0.5,0.08911588411588414
14,percentage,0.6,0.607838031713904
14,rank,0.5,0.07500666000666004
15,percentage,0.6,0.5039508340456653
15,rank,0.5,-0.1872660672660673
16,percentage,0.6,0.7461074437191324
16,rank,0.5,-0.09466699966699968
17,percentage,0.6,0.6740753010073804
17,rank,0.5,-0.09634759180213726
18,percentage,0.6,0.6755604720342743
18,rank,0.5,-0.08040792540792539
19,percentage,0.6,0.8121419330713032
19,rank,0.5,0.00024218206036387034
20,percentage,0.6,0.8262248848256123
20,rank,0.5,0.279010989010989
