,,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_std,fan_vote_ci_width
,,mean,std,min,max,mean,mean
season,week,,,,,,
1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.059932,0.018024,0.020719,0.087833,0.006119,0.021204
2,2,0.055836,0.018723,0.021583,0.076081,0.006227,0.021184
2,3,0.057346,0.024417,0.017408,0.093046,0.007011,0.023987
2,4,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.030177,0.00549,0.019366,0.040531,0.002822,0.009605
3,2,0.04808,0.009715,0.036694,0.069043,0.004873,0.016593
3,3,0.052291,0.009464,0.032797,0.066365,0.006052,0.020355
3,4,0.053047,0.007951,0.042398,0.070047,0.006679,0.02214
3,5,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.022835,0.003636,0.018702,0.027657,0.004567,0.016294
3,7,0.032072,0.005469,0.027373,0.040539,0.006513,0.022836
3,8,0.039171,0.007612,0.032577,0.05013,0.009979,0.034518
3,9,0.031166,0.000567,0.030515,0.031554,0.010362,0.036242
3,10,0.0317,0.000773,0.031154,0.032247,0.015845,0.055568
4,1,0.016471,0.003074,0.012736,0.022361,0.001496,0.005102
4,2,0.049132,0.006767,0.038821,0.056631,0.004529,0.015431
4,3,0.048521,0.006364,0.042189,0.061939,0.004894,0.015668
4,4,0.038093,0.0076,0.0297,0.051861,0.004291,0.014715
4,5,0.030616,0.004834,0.022973,0.036378,0.003904,0.013143
4,6,0.041281,0.013202,0.024468,0.058731,0.005843,0.019727
4,7,0.038107,0.006171,0.02939,0.048,0.006099,0.021579
4,8,0.029463,0.003419,0.025745,0.034707,0.005907,0.019189
4,9,0.039328,0.002076,0.036707,0.041455,0.009708,0.033939
4,10,0.025119,0.001073,0.023932,0.02602,0.008371,0.027143
5,1,0.036797,0.004306,0.027357,0.042856,0.003127,0.010611
5,2,0.050708,0.011368,0.036125,0.071188,0.004444,0.015125
5,3,0.033345,0.007589,0.021883,0.045793,0.00341,0.011863
5,4,0.040981,0.006256,0.03542,0.056091,0.004594,0.015643
5,5,0.035861,0.003777,0.029349,0.041276,0.004456,0.015051
5,6,0.040707,0.006602,0.034435,0.050467,0.00569,0.019445
5,7,0.043719,0.010415,0.033133,0.063195,0.007408,0.025756
5,8,0.037458,0.002743,0.035395,0.040518,0.007566,0.026513
5,9,0.034652,0.011024,0.026539,0.050428,0.00775,0.026876
5,10,0.025575,0.004605,0.020431,0.029316,0.008509,0.027106
6,1,0.017021,0.004083,0.012225,0.024161,0.001418,0.004789
6,2,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0.045143,0.007015,0.030984,0.053279,0.004492,0.015004
6,4,0.030223,0.004146,0.02412,0.034695,0.003413,0.011205
6,5,0.038271,0.006441,0.028382,0.047615,0.004925,0.017295
6,6,0.034295,0.007819,0.025086,0.045482,0.004971,0.016965
6,7,0.039914,0.009089,0.031156,0.054805,0.006267,0.02253
6,8,0.039387,0.005312,0.030738,0.044632,0.007694,0.026293
6,9,0.038121,0.005493,0.033028,0.045607,0.009105,0.031624
6,10,0.024157,0.003221,0.02152,0.027747,0.008039,0.027306
7,1,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0,0.0,0.0
7,3,0.017797,0.003316,0.012713,0.023609,0.001976,0.006718
7,4,0.031974,0.006785,0.023707,0.043987,0.003559,0.01215
7,5,0.040993,0.009847,0.025354,0.053922,0.005339,0.018267
7,6,0.032422,0.004599,0.026914,0.038627,0.00472,0.016217
7,7,0.049284,0.00956,0.037166,0.064316,0.008349,0.030203
7,8,0.040831,0.004684,0.033475,0.04635,0.007961,0.02778
7,9,0.036147,0.002517,0.033832,0.0387,0.008937,0.031071
7,10,0.026173,0.004677,0.021255,0.030565,0.008716,0.029897
8,1,0.015381,0.002153,0.011537,0.019619,0.001183,0.004055
8,2,0.044154,0.010514,0.026615,0.064756,0.003434,0.012138
8,3,0.038633,0.007596,0.023511,0.048062,0.003181,0.010887
8,4,0.0,0.0,0.0,0.0,0.0,0.0
8,5,0.046587,0.011497,0.032217,0.065034,0.005195,0.017247
8,6,0.032737,0.003699,0.028382,0.040413,0.004084,0.014372
8,7,0.035895,0.005696,0.028454,0.042126,0.005218,0.017741
8,8,0.046764,0.012661,0.031658,0.064684,0.007836,0.026469
8,9,0.042239,0.009757,0.029027,0.053817,0.008014,0.027738
8,10,0.029066,0.001838,0.027474,0.031622,0.007124,0.025794
8,11,0.022355,0.003382,0.018541,0.024991,0.007452,0.024143
9,1,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0.039618,0.005924,0.02669,0.049607,0.002892,0.010017
9,3,0.0,0.0,0.0,0.0,0.0,0.0
9,4,0.037718,0.007704,0.024101,0.048404,0.003527,0.011835
9,5,0.042559,0.006398,0.033237,0.05336,0.004208,0.014719
9,6,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0,0.0,0.0
9,8,0.037483,0.008604,0.025467,0.046057,0.007178,0.024437
9,9,0.035845,0.003061,0.033162,0.039159,0.008843,0.029383
9,10,0.026083,0.003847,0.02307,0.030416,0.008697,0.028378
10,1,0.015205,0.001712,0.012992,0.017899,0.001381,0.004721
10,2,0.062615,0.008654,0.050556,0.077227,0.005592,0.018598
10,3,0.029956,0.006637,0.024289,0.043015,0.00304,0.010703
10,4,0.03481,0.006765,0.025112,0.046265,0.003957,0.013623
10,5,0.033949,0.004773,0.027522,0.039907,0.004167,0.014633
10,6,0.037282,0.004453,0.031748,0.043396,0.005425,0.019202
10,7,0.044409,0.008826,0.034066,0.060361,0.007532,0.026128
10,8,0.038949,0.004868,0.031528,0.044691,0.007737,0.026131
10,9,0.033956,0.004787,0.030828,0.041041,0.008088,0.02739
10,10,0.023632,0.004866,0.018299,0.027832,0.007882,0.028141
11,1,0.039556,0.005378,0.031249,0.048956,0.00335,0.011502
11,2,0.028527,0.004065,0.022789,0.035845,0.002633,0.008842
11,3,0.03799,0.00821,0.024513,0.050662,0.00389,0.012811
11,4,0.033987,0.004327,0.026245,0.040415,0.003792,0.01294
11,5,0.043769,0.005546,0.03609,0.053016,0.005425,0.018841
11,6,0.052335,0.009205,0.040441,0.065367,0.007571,0.027676
11,7,0.040831,0.008308,0.029704,0.054046,0.006464,0.023653
11,8,0.035518,0.006117,0.029175,0.044031,0.006991,0.024576
11,9,0.041485,0.011311,0.033214,0.058187,0.009399,0.031848
11,10,0.029952,0.003909,0.025646,0.033278,0.009997,0.0349
12,1,0.016648,0.003734,0.011242,0.023521,0.001513,0.005239
12,2,0.042244,0.005472,0.036425,0.053324,0.003888,0.013553
12,3,0.033446,0.005027,0.025072,0.044562,0.003348,0.011371
12,4,0.044192,0.010431,0.026906,0.057353,0.004977,0.016975
12,5,0.041919,0.005056,0.03488,0.048019,0.005333,0.018374
12,6,0.040205,0.006729,0.032184,0.053048,0.005792,0.018564
12,7,0.039937,0.005872,0.030347,0.046373,0.006523,0.021323
12,8,0.042292,0.009618,0.030902,0.054672,0.007984,0.028382
12,9,0.035469,0.004917,0.030225,0.041904,0.008526,0.030008
12,10,0.022949,0.002083,0.021318,0.025295,0.007656,0.026651
13,1,0.035904,0.005654,0.02926,0.045617,0.003012,0.010154
13,2,0.063564,0.013978,0.050756,0.100834,0.005719,0.020023
13,3,0.050528,0.007097,0.04185,0.065336,0.00512,0.01713
13,4,0.042537,0.010326,0.031673,0.059542,0.004805,0.016437
13,5,0.034803,0.004183,0.027467,0.040676,0.004413,0.015633
13,6,0.037749,0.005458,0.032954,0.045966,0.005468,0.017929
13,7,0.044319,0.005673,0.036441,0.050721,0.007301,0.024441
13,8,0.037948,0.001923,0.035348,0.040381,0.007552,0.025544
13,9,0.038629,0.009016,0.031466,0.051683,0.008936,0.027838
13,10,0.023385,0.00064,0.022857,0.024096,0.007794,0.026619
14,1,0.015814,0.002723,0.011732,0.020107,0.001318,0.004521
14,2,0.034206,0.004709,0.02831,0.045487,0.002889,0.009715
14,3,0.047576,0.007657,0.038427,0.066535,0.004285,0.014796
14,4,0.041343,0.005297,0.029401,0.047626,0.004077,0.013559
14,5,0.031844,0.004809,0.02481,0.039486,0.003576,0.01238
14,6,0.03411,0.005396,0.02737,0.041839,0.004172,0.014285
14,7,0.043347,0.008444,0.031683,0.052688,0.006024,0.020762
14,8,0.0,0.0,0.0,0.0,0.0,0.0
14,9,0.033811,0.008044,0.027249,0.045545,0.007771,0.027176
14,10,0.022078,0.003348,0.018216,0.024158,0.007357,0.024029
15,1,0.036955,0.004929,0.028236,0.047292,0.002841,0.009729
15,2,0.05135,0.007997,0.041468,0.066518,0.004297,0.014333
15,3,0.0,0.0,0.0,0.0,0.0,0.0
15,4,0.039866,0.005919,0.029379,0.04946,0.004455,0.014744
15,5,0.020018,0.002239,0.016069,0.023165,0.002503,0.008865
15,6,0.049658,0.00652,0.039086,0.058867,0.006368,0.022098
15,7,0.016981,0.003396,0.010463,0.020614,0.00242,0.008445
15,8,0.0,0.0,0.0,0.0,0.0,0.0
15,9,0.0,0.0,0.0,0.0,0.0,0.0
15,10,0.023876,0.003358,0.0219,0.027753,0.007959,0.026025
16,1,0.017566,0.002794,0.011497,0.021053,0.001466,0.00498
16,2,0.036558,0.005604,0.021256,0.043563,0.003059,0.010608
16,3,0.037207,0.006379,0.028071,0.045493,0.003447,0.011978
16,4,0.03973,0.004936,0.032259,0.048301,0.003961,0.013936
16,5,0.036481,0.007041,0.030411,0.053048,0.004129,0.013987
16,6,0.04103,0.004989,0.036045,0.048569,0.005174,0.018035
16,7,0.03295,0.005068,0.024348,0.040332,0.004858,0.017157
16,8,0.036945,0.003415,0.033958,0.042634,0.006231,0.020895
16,9,0.045232,0.00379,0.039637,0.049798,0.008972,0.029685
16,10,0.024471,0.002718,0.0215,0.026958,0.006118,0.020761
17,1,0.016516,0.003315,0.012458,0.02134,0.001374,0.004812
17,2,0.039091,0.00469,0.031322,0.044261,0.003298,0.011213
17,3,0.031559,0.005025,0.023251,0.039638,0.002928,0.009705
17,4,0.03173,0.004885,0.02409,0.041146,0.003242,0.01131
17,5,0.054565,0.008529,0.039975,0.067612,0.005903,0.02063
17,6,0.017457,0.002914,0.013085,0.021244,0.002181,0.00758
17,7,0.044462,0.007827,0.034462,0.05794,0.00551,0.019308
17,8,0.045289,0.005754,0.036868,0.050903,0.006406,0.021617
17,9,0.047985,0.007973,0.037196,0.056812,0.008016,0.026847
17,10,0.035185,0.006223,0.026235,0.040754,0.006872,0.022871
17,11,0.02194,0.005392,0.015109,0.028061,0.005472,0.018104
18,1,0.037315,0.005914,0.026927,0.04592,0.003136,0.010644
18,2,0.0,0.0,0.0,0.0,0.0,0.0
18,3,0.017984,0.002336,0.013338,0.020487,0.001996,0.00701
18,4,0.018698,0.00312,0.015327,0.025496,0.00208,0.007372
18,5,0.04421,0.009988,0.026114,0.054376,0.004888,0.016531
18,6,0.042051,0.007654,0.033947,0.057188,0.005368,0.017966
18,7,0.039826,0.002272,0.036494,0.043084,0.005628,0.019078
18,8,0.03882,0.001662,0.036935,0.041738,0.006455,0.022028
18,9,0.037997,0.00965,0.025931,0.049844,0.00804,0.027203
18,10,0.025855,0.002797,0.023588,0.029595,0.006458,0.021519
19,1,0.032998,0.006927,0.018896,0.044361,0.002517,0.008533
19,2,0.043841,0.00645,0.035348,0.053508,0.003673,0.012762
19,3,0.034151,0.006704,0.022097,0.043995,0.003131,0.010673
19,4,0.04581,0.00777,0.034837,0.062604,0.004528,0.015508
19,5,0.017101,0.001734,0.015531,0.020852,0.001897,0.006486
19,6,0.046309,0.00774,0.037281,0.058738,0.005197,0.01747
19,7,0.040956,0.008745,0.028665,0.054436,0.005293,0.017255
19,8,0.032244,0.005378,0.022861,0.038052,0.004771,0.016447
19,9,0.044795,0.008778,0.033925,0.058265,0.007121,0.0245
19,10,0.033195,0.006561,0.027424,0.042047,0.006749,0.023081
19,11,0.021099,0.002481,0.017601,0.023456,0.005275,0.017675
20,1,0.016296,0.002607,0.01166,0.019786,0.001358,0.00469
20,2,0.068597,0.01495,0.043352,0.089628,0.005645,0.019216
20,3,0.032936,0.005255,0.024264,0.040394,0.002948,0.009932
20,4,0.042518,0.005295,0.03374,0.049197,0.004322,0.014787
20,5,0.042077,0.005657,0.034719,0.050594,0.004701,0.015872
20,6,0.042523,0.011211,0.02747,0.057056,0.005273,0.018219
20,7,0.055664,0.009907,0.041077,0.071921,0.007628,0.026691
20,8,0.0,0.0,0.0,0.0,0.0,0.0
20,9,0.035083,0.009742,0.022271,0.045959,0.008158,0.029068
20,10,0.02524,0.003047,0.022985,0.028706,0.00842,0.029139
21,1,0.01584,0.00294,0.011039,0.019641,0.001218,0.004125
21,2,0.0,0.0,0.0,0.0,0.0,0.0
21,3,0.017204,0.002369,0.012016,0.02037,0.001723,0.005945
21,4,0.028746,0.003882,0.022457,0.037125,0.002864,0.009856
21,5,0.017637,0.002188,0.014523,0.020621,0.001965,0.006702
21,6,0.033124,0.004549,0.025165,0.039397,0.003707,0.012692
21,7,0.050228,0.00899,0.034234,0.063827,0.006339,0.022376
21,8,0.036657,0.005439,0.026035,0.041114,0.005214,0.017671
21,9,0.0,0.0,0.0,0.0,0.0,0.0
21,10,0.022868,0.003619,0.018908,0.027388,0.005711,0.01927
21,11,0.024537,0.002916,0.020247,0.026535,0.00613,0.021486
22,1,0.017564,0.002021,0.014535,0.022357,0.001463,0.004996
22,2,0.033499,0.003955,0.028152,0.03998,0.002803,0.009713
22,3,0.040331,0.008084,0.028331,0.055428,0.003757,0.013329
22,4,0.043834,0.00782,0.026475,0.053832,0.004348,0.014818
22,5,0.01681,0.001764,0.014053,0.019474,0.001866,0.006593
22,6,0.037536,0.008285,0.027623,0.048541,0.004267,0.014602
