feature,importance,importance_percent
industry_simplified_Model,10.147887247339302,10.150290452593138
age_industry_simplified_Athlete,8.390296218641788,8.392283194202555
industry_simplified_Comedian,8.171120728226839,8.173055799023862
industry_simplified_Singer,7.892024857933865,7.8938938337255475
age_industry_simplified_Other,7.037563050712702,7.0392296743246385
experience_industry_simplified_Other,6.966275205374593,6.967924946721259
age_industry_simplified_Model,6.874428434272199,6.8760564246240525
experience_industry_simplified_Singer,6.040918970112465,6.042349570182522
experience_industry_simplified_Athlete,5.296710233555237,5.297964591388655
experience_industry_simplified_Comedian,4.864658886555536,4.865810926729944
pro_experience,4.359872910880606,4.360905408505985
celebrity_age_during_season,3.741974925401281,3.742861093485461
is_american_True,3.456230997596632,3.457049496293893
industry_simplified_Athlete,3.1928025513724902,3.193558665396908
age_industry_simplified_Singer,3.1677847764007887,3.1685349657586444
age_industry_simplified_Comedian,3.021131517089449,3.0218469762739515
industry_simplified_Other,2.7456184477447074,2.7462686603966446
age_industry_simplified_Politician,1.65612224410987,1.6565144441393966
industry_simplified_Politician,1.5539133565464764,1.5542813516425433
experience_industry_simplified_Model,0.7877004220712486,0.7878869639342623
industry_simplified_Musician,0.6112877965285428,0.6114325606561309
age_industry_simplified_Musician,0.0,0.0
experience_industry_simplified_Musician,0.0,0.0
experience_industry_simplified_Politician,0.0,0.0
