,,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_std,fan_vote_ci_width
,,mean,std,min,max,mean,mean
season,week,,,,,,
1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.055224,0.015169,0.021935,0.072545,0.005671,0.018719
2,2,0.051397,0.015619,0.021058,0.073941,0.005787,0.019801
2,3,0.055569,0.021565,0.026791,0.085504,0.006613,0.022853
2,4,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.031683,0.005055,0.026892,0.043677,0.002916,0.010051
3,2,0.051715,0.008735,0.042894,0.071047,0.005137,0.017303
3,3,0.045928,0.00987,0.030411,0.058641,0.005134,0.017903
3,4,0.041814,0.010515,0.033103,0.058161,0.005004,0.017004
3,5,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.024104,0.004071,0.020409,0.030047,0.004821,0.016815
3,7,0.036263,0.004656,0.028731,0.040905,0.007179,0.023782
3,8,0.037512,0.009542,0.02831,0.049373,0.008697,0.029368
3,9,0.029305,0.001223,0.027981,0.030391,0.009902,0.032158
3,10,0.028238,9.1e-05,0.028174,0.028303,0.014119,0.052404
4,1,0.016702,0.002561,0.013288,0.020064,0.001519,0.005209
4,2,0.053584,0.006934,0.045016,0.064461,0.004819,0.016984
4,3,0.051135,0.007753,0.044094,0.068898,0.004943,0.017025
4,4,0.03593,0.003916,0.030066,0.042509,0.003923,0.013428
4,5,0.028738,0.003748,0.024336,0.035487,0.003561,0.012318
4,6,0.044839,0.006333,0.033832,0.0525,0.006257,0.022125
4,7,0.037207,0.005636,0.030857,0.044354,0.00601,0.020041
4,8,0.036141,0.005368,0.028466,0.043521,0.007229,0.023488
4,9,0.035097,0.006485,0.02743,0.043232,0.008832,0.031723
4,10,0.027266,0.002452,0.024435,0.028699,0.009092,0.031615
5,1,0.033928,0.007805,0.018209,0.044562,0.002837,0.009795
5,2,0.054116,0.007246,0.040229,0.066445,0.005017,0.017186
5,3,0.036617,0.006814,0.026037,0.049529,0.003684,0.012464
5,4,0.041251,0.007368,0.031461,0.051076,0.004565,0.015842
5,5,0.041178,0.009027,0.029506,0.055391,0.005048,0.017604
5,6,0.04141,0.006752,0.031299,0.05,0.005737,0.019738
5,7,0.038132,0.007486,0.029476,0.050919,0.006337,0.02152
5,8,0.041461,0.009058,0.030379,0.052078,0.008323,0.028923
5,9,0.037345,0.009461,0.02527,0.045466,0.008869,0.032148
5,10,0.022439,0.001904,0.020242,0.023598,0.007489,0.024826
6,1,0.016302,0.003217,0.011167,0.020806,0.001361,0.004583
6,2,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0.046335,0.00513,0.040529,0.055306,0.004561,0.015527
6,4,0.034819,0.00378,0.030498,0.043094,0.003866,0.013304
6,5,0.038258,0.006025,0.030467,0.050666,0.004837,0.01648
6,6,0.040162,0.007492,0.031167,0.051312,0.005762,0.019897
6,7,0.044294,0.004842,0.037078,0.05228,0.007358,0.025428
6,8,0.036577,0.011282,0.022564,0.053586,0.006672,0.023673
6,9,0.035542,0.002602,0.032091,0.038185,0.008738,0.028868
6,10,0.024231,0.002376,0.021655,0.026336,0.008087,0.02756
7,1,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0,0.0,0.0
7,3,0.017218,0.002187,0.013976,0.020411,0.001913,0.006707
7,4,0.037212,0.008719,0.024148,0.051342,0.004281,0.014346
7,5,0.04311,0.007201,0.030568,0.052156,0.005298,0.018169
7,6,0.032088,0.006728,0.020404,0.039648,0.004575,0.015298
7,7,0.047763,0.005195,0.042364,0.05495,0.007824,0.026831
7,8,0.044481,0.003037,0.0393,0.047177,0.00889,0.029399
7,9,0.037629,0.006398,0.028757,0.04263,0.009138,0.030354
7,10,0.025968,0.004733,0.020576,0.029438,0.008645,0.031153
8,1,0.016822,0.001698,0.01474,0.020516,0.001294,0.00449
8,2,0.043584,0.006117,0.035783,0.056616,0.003383,0.011629
8,3,0.039036,0.006749,0.02516,0.052054,0.003276,0.011039
8,4,0.0,0.0,0.0,0.0,0.0,0.0
8,5,0.045261,0.006644,0.035285,0.059768,0.00501,0.016533
8,6,0.035478,0.006135,0.022334,0.042029,0.004356,0.014773
8,7,0.031697,0.004491,0.024228,0.035533,0.004607,0.015555
8,8,0.044565,0.007774,0.034916,0.051403,0.007273,0.02438
8,9,0.042802,0.002858,0.03958,0.047175,0.008625,0.029131
8,10,0.036001,0.012429,0.022914,0.051953,0.008099,0.028919
8,11,0.030701,0.000944,0.029865,0.031725,0.010233,0.037507
9,1,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0.041988,0.008085,0.029396,0.051703,0.003059,0.010445
9,3,0.0,0.0,0.0,0.0,0.0,0.0
9,4,0.036576,0.004425,0.031732,0.046438,0.003327,0.011189
9,5,0.040794,0.007717,0.03188,0.056683,0.004153,0.014358
9,6,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0,0.0,0.0
9,8,0.039635,0.008775,0.028703,0.052947,0.007848,0.026536
9,9,0.045212,0.006721,0.038584,0.05454,0.010772,0.036652
9,10,0.027756,0.003126,0.024264,0.030293,0.009265,0.031481
10,1,0.017297,0.002584,0.011799,0.021063,0.001574,0.005367
10,2,0.053998,0.010452,0.036923,0.065201,0.004789,0.016307
10,3,0.030099,0.006368,0.018295,0.037592,0.003112,0.011122
10,4,0.038489,0.008997,0.026085,0.054068,0.004243,0.014882
10,5,0.032256,0.006145,0.020519,0.041844,0.004058,0.014087
10,6,0.038576,0.009432,0.024945,0.051296,0.005536,0.018171
10,7,0.044695,0.006842,0.03186,0.051282,0.00727,0.024074
10,8,0.032554,0.003866,0.02866,0.039055,0.006646,0.02302
10,9,0.031931,0.010558,0.022644,0.046627,0.007155,0.026807
10,10,0.023726,0.00438,0.01937,0.028129,0.00791,0.026239
11,1,0.037228,0.00836,0.023657,0.053774,0.003192,0.011185
11,2,0.028342,0.005281,0.021155,0.035654,0.002628,0.00894
11,3,0.032306,0.00451,0.025821,0.03989,0.003274,0.011116
11,4,0.033534,0.005069,0.025212,0.039807,0.00371,0.012177
11,5,0.043541,0.006885,0.031056,0.049405,0.005456,0.018769
11,6,0.053501,0.007938,0.043517,0.063855,0.007652,0.024398
11,7,0.042872,0.004431,0.035008,0.047075,0.007101,0.024257
11,8,0.035649,0.005095,0.027417,0.041356,0.00693,0.023983
11,9,0.042134,0.006569,0.035422,0.050135,0.010083,0.035048
11,10,0.026738,0.002921,0.023393,0.028785,0.008922,0.028335
12,1,0.01862,0.003208,0.013542,0.024537,0.001691,0.005662
12,2,0.043704,0.006291,0.03346,0.052646,0.004049,0.01413
12,3,0.029946,0.002964,0.024592,0.033736,0.002961,0.01022
12,4,0.048916,0.007551,0.038889,0.065191,0.00539,0.01812
12,5,0.037937,0.005657,0.031519,0.049502,0.004745,0.015939
12,6,0.040592,0.004746,0.032503,0.046209,0.005949,0.020091
12,7,0.040043,0.007325,0.027466,0.048001,0.006656,0.022543
12,8,0.044372,0.0039,0.041572,0.050709,0.008957,0.030291
12,9,0.030802,0.008138,0.023958,0.042613,0.007044,0.023054
12,10,0.026953,0.001289,0.025707,0.028282,0.008986,0.032065
13,1,0.034768,0.006769,0.022886,0.044396,0.00292,0.009946
13,2,0.057021,0.008978,0.042065,0.069682,0.005234,0.017657
13,3,0.049149,0.00766,0.031647,0.055924,0.004966,0.016934
13,4,0.044084,0.004546,0.037327,0.05106,0.00498,0.016844
13,5,0.03857,0.006954,0.029267,0.048847,0.004846,0.018057
13,6,0.034699,0.005178,0.026246,0.040407,0.00497,0.017191
13,7,0.041179,0.005566,0.034072,0.047454,0.006724,0.024119
13,8,0.037566,0.006305,0.031878,0.046998,0.00717,0.024158
13,9,0.035189,0.005743,0.030549,0.043347,0.008351,0.028314
13,10,0.024213,0.002289,0.021819,0.026381,0.008072,0.028027
14,1,0.015273,0.002386,0.010922,0.019417,0.001274,0.004533
14,2,0.032962,0.005816,0.021073,0.0403,0.002823,0.009751
14,3,0.048515,0.007587,0.035924,0.06185,0.004389,0.014962
14,4,0.040707,0.007752,0.024514,0.051549,0.004084,0.013742
14,5,0.032362,0.004272,0.024133,0.037233,0.003592,0.012306
14,6,0.032746,0.005075,0.024474,0.041644,0.004206,0.014571
14,7,0.047393,0.006163,0.040083,0.055661,0.006612,0.022044
14,8,0.0,0.0,0.0,0.0,0.0,0.0
14,9,0.040564,0.008417,0.029963,0.050411,0.009566,0.032318
14,10,0.027817,0.002884,0.024699,0.030388,0.009271,0.031494
15,1,0.036039,0.006308,0.025191,0.046862,0.002832,0.009547
15,2,0.054696,0.008599,0.043685,0.07209,0.004476,0.015454
15,3,0.0,0.0,0.0,0.0,0.0,0.0
15,4,0.043413,0.007072,0.033795,0.052778,0.004751,0.016525
15,5,0.019919,0.00302,0.016965,0.025973,0.00249,0.008391
15,6,0.05101,0.013192,0.036792,0.077399,0.006409,0.022106
15,7,0.0208,0.002049,0.018557,0.024305,0.002968,0.010576
15,8,0.0,0.0,0.0,0.0,0.0,0.0
15,9,0.0,0.0,0.0,0.0,0.0,0.0
15,10,0.024625,0.003771,0.020371,0.027558,0.008211,0.028752
16,1,0.017086,0.002118,0.013322,0.019896,0.001424,0.004874
16,2,0.034035,0.005794,0.024212,0.04349,0.002849,0.009616
16,3,0.034197,0.005326,0.026104,0.044794,0.003166,0.010806
16,4,0.035102,0.004367,0.027231,0.04243,0.003533,0.012046
16,5,0.035524,0.007153,0.029208,0.052176,0.003977,0.013949
16,6,0.038374,0.009522,0.027558,0.053088,0.004917,0.016056
16,7,0.029848,0.004844,0.024052,0.037968,0.004284,0.014422
16,8,0.03337,0.003371,0.028897,0.037303,0.005647,0.019048
16,9,0.041688,0.003203,0.03774,0.045503,0.008357,0.028725
16,10,0.023371,0.003631,0.018426,0.026955,0.005842,0.018728
17,1,0.016105,0.002684,0.011537,0.019895,0.001342,0.00476
17,2,0.037041,0.006704,0.024477,0.048445,0.003106,0.010595
17,3,0.031526,0.005995,0.020859,0.038569,0.002947,0.010005
17,4,0.032221,0.004433,0.026254,0.041996,0.003277,0.011393
17,5,0.05332,0.009186,0.041053,0.070957,0.00587,0.020097
17,6,0.019334,0.004533,0.012188,0.025021,0.002415,0.008325
17,7,0.048047,0.006695,0.039764,0.061185,0.006,0.020796
17,8,0.047494,0.007477,0.038108,0.058637,0.006632,0.022802
17,9,0.050001,0.007637,0.037297,0.057241,0.008183,0.028454
17,10,0.036146,0.003812,0.031348,0.04079,0.007222,0.024597
17,11,0.024464,0.005908,0.01868,0.032697,0.006131,0.020908
18,1,0.042214,0.007002,0.031552,0.051279,0.00358,0.012245
18,2,0.0,0.0,0.0,0.0,0.0,0.0
18,3,0.015967,0.003815,0.012055,0.022251,0.001773,0.006155
18,4,0.016318,0.002636,0.011209,0.019972,0.001814,0.006081
18,5,0.046058,0.004525,0.039078,0.052742,0.00512,0.017685
18,6,0.045606,0.008034,0.035974,0.060795,0.005482,0.018864
18,7,0.037508,0.005651,0.030252,0.044842,0.005341,0.018428
18,8,0.044722,0.006298,0.033366,0.051243,0.007279,0.02451
18,9,0.04064,0.00368,0.03512,0.045085,0.007966,0.026597
18,10,0.022731,0.003323,0.019909,0.027147,0.005675,0.018499
19,1,0.036559,0.006701,0.027957,0.050555,0.002854,0.009906
19,2,0.04241,0.008133,0.026412,0.056263,0.003632,0.012682
19,3,0.038397,0.009032,0.02127,0.04951,0.003617,0.012813
19,4,0.041716,0.007887,0.02637,0.053972,0.004125,0.014522
19,5,0.017599,0.002673,0.013932,0.020681,0.001953,0.00694
19,6,0.045095,0.005071,0.037506,0.055217,0.00498,0.017229
19,7,0.040153,0.007239,0.028825,0.049797,0.005188,0.01765
19,8,0.030161,0.004243,0.023275,0.034962,0.004351,0.01484
19,9,0.047209,0.00933,0.03624,0.059612,0.008094,0.027547
19,10,0.035549,0.003994,0.030829,0.041825,0.007127,0.023359
19,11,0.025242,0.004649,0.020183,0.03129,0.006315,0.021646
20,1,0.016472,0.001973,0.013261,0.020207,0.001372,0.004575
20,2,0.063797,0.010674,0.046929,0.083364,0.005259,0.017979
20,3,0.036938,0.005345,0.02884,0.044099,0.003396,0.011416
20,4,0.041687,0.009062,0.028818,0.056542,0.00428,0.014911
20,5,0.04286,0.005657,0.031661,0.04956,0.004687,0.015203
20,6,0.042229,0.005952,0.032497,0.05162,0.005142,0.017358
20,7,0.053655,0.013348,0.033186,0.068912,0.007376,0.024878
20,8,0.0,0.0,0.0,0.0,0.0,0.0
20,9,0.035782,0.011187,0.028891,0.0525,0.007998,0.026601
20,10,0.023025,0.003599,0.01975,0.026878,0.007674,0.027174
21,1,0.016201,0.002851,0.011055,0.021573,0.001246,0.00438
21,2,0.0,0.0,0.0,0.0,0.0,0.0
21,3,0.01753,0.002911,0.014601,0.023788,0.001759,0.006052
21,4,0.031252,0.005111,0.025608,0.043299,0.003153,0.01102
21,5,0.017166,0.003329,0.00916,0.021355,0.001913,0.006594
21,6,0.029483,0.004693,0.024616,0.039393,0.003326,0.011757
21,7,0.047857,0.009014,0.037468,0.06303,0.006041,0.020844
21,8,0.041214,0.007795,0.029891,0.051558,0.006102,0.020314
21,9,0.0,0.0,0.0,0.0,0.0,0.0
21,10,0.022617,0.001614,0.02157,0.025007,0.005652,0.019344
21,11,0.025585,0.002609,0.023028,0.029178,0.006398,0.022195
22,1,0.016313,0.002225,0.01282,0.020493,0.001358,0.004631
22,2,0.032644,0.008038,0.022396,0.044056,0.002783,0.009539
22,3,0.039341,0.006817,0.029967,0.052653,0.003593,0.012564
22,4,0.04172,0.006309,0.03216,0.053471,0.004256,0.014265
22,5,0.018193,0.003015,0.011549,0.021489,0.002022,0.007027
22,6,0.036407,0.005264,0.025122,0.042522,0.004015,0.014006
