season,voting_phase,total_weeks,rank_accuracy,percentage_accuracy,accuracy_difference,different_predictions,different_prediction_rate
1,rank_regular,5,0.0,0.2,0.2,4,0.6666666666666666
2,rank_regular,8,0.5,0.25,-0.25,7,0.875
3,percentage_regular,9,0.2222222222222222,0.2222222222222222,0.0,8,0.8
4,percentage_regular,9,0.3333333333333333,0.2222222222222222,-0.1111111111111111,8,0.8
5,percentage_regular,10,0.2,0.3,0.09999999999999998,8,0.8
6,percentage_regular,9,0.0,0.2222222222222222,0.2222222222222222,9,0.9
7,percentage_regular,9,0.3333333333333333,0.4444444444444444,0.1111111111111111,8,0.8
8,percentage_regular,9,0.2222222222222222,0.3333333333333333,0.1111111111111111,7,0.6363636363636364
9,percentage_regular,10,0.2,0.0,-0.2,6,0.6
10,percentage_regular,9,0.2222222222222222,0.3333333333333333,0.1111111111111111,10,1.0
11,percentage_regular,10,0.0,0.3,0.3,8,0.8
12,percentage_regular,9,0.2222222222222222,0.2222222222222222,0.0,6,0.6
13,percentage_regular,10,0.1,0.2,0.1,9,0.9
14,percentage_regular,9,0.0,0.2222222222222222,0.2222222222222222,9,0.9
15,percentage_regular,8,0.125,0.125,0.0,10,1.0
16,percentage_regular,9,0.1111111111111111,0.5555555555555556,0.4444444444444445,7,0.7
17,percentage_regular,8,0.5,0.5,0.0,10,0.9090909090909091
18,percentage_regular,8,0.25,0.25,0.0,8,0.8
19,percentage_regular,9,0.1111111111111111,0.3333333333333333,0.2222222222222222,10,0.9090909090909091
20,percentage_regular,9,0.1111111111111111,0.0,-0.1111111111111111,8,0.8
21,percentage_regular,6,0.0,0.3333333333333333,0.3333333333333333,10,0.9090909090909091
22,percentage_regular,8,0.125,0.375,0.25,10,1.0
23,percentage_regular,8,0.125,0.25,0.125,7,0.6363636363636364
24,percentage_regular,9,0.2222222222222222,0.2222222222222222,0.0,10,1.0
25,percentage_regular,8,0.0,0.125,0.125,10,1.0
26,percentage_regular,4,0.0,0.0,0.0,4,1.0
27,percentage_regular,8,0.0,0.0,0.0,9,1.0
28,rank_bottom_two,7,0.2857142857142857,0.2857142857142857,0.0,11,1.0
29,rank_bottom_two,9,0.0,0.3333333333333333,0.3333333333333333,10,0.9090909090909091
30,rank_bottom_two,9,0.0,0.3333333333333333,0.3333333333333333,9,0.9
31,rank_bottom_two,10,0.0,0.1,0.1,8,0.8
32,rank_bottom_two,9,0.3333333333333333,0.2222222222222222,-0.1111111111111111,10,0.9090909090909091
33,rank_bottom_two,7,0.0,0.0,0.0,8,0.8888888888888888
34,rank_bottom_two,8,0.125,0.25,0.125,8,0.7272727272727273
